name,location,cuisine,cost_for_two,rating,restaurant_id,is_active,source_updated_at,ingested_at,budget_tier
House Of Commons,Koramangala 5th Block,"Continental, Asian, North Indian",1000.0,4.8,gen_9936,True,,2026-05-15T17:50:27,medium
The Pizza Bakery,Indiranagar,"Italian, Pizza, Beverages",1200.0,4.8,gen_18186,True,,2026-05-15T17:50:27,medium
The Globe Grub,Marathahalli,"Continental, North Indian, Asian, Italian",1300.0,4.8,gen_40508,True,,2026-05-15T17:50:27,medium
Barbecue by Punjab Grill,Malleshwaram,BBQ,1300.0,4.8,gen_46965,True,,2026-05-15T17:50:27,medium
Chili's American Grill & Bar,Malleshwaram,"American, Tex-Mex, Burger, BBQ, Mexican",1400.0,4.8,gen_39547,True,,2026-05-15T17:50:27,medium
The Black Pearl,Marathahalli,"North Indian, European, Mediterranean, BBQ",1500.0,4.8,gen_3763,True,,2026-05-15T17:50:27,medium
AB's - Absolute Barbecues,Whitefield,"European, Mediterranean, North Indian, BBQ",1600.0,4.8,gen_6746,True,,2026-05-15T17:50:27,high
Barbeque Nation,JP Nagar,"North Indian, European, Mediterranean, BBQ, Kebab",1600.0,4.8,gen_21283,True,,2026-05-15T17:50:27,high
AB's - Absolute Barbecues,Marathahalli,"European, Mediterranean, North Indian, BBQ",1600.0,4.8,gen_40507,True,,2026-05-15T17:50:27,high
The Boozy Griffin,Marathahalli,"European, Continental",1800.0,4.8,gen_41534,True,,2026-05-15T17:50:27,high
Biergarten,Koramangala 5th Block,"Continental, North Indian, Chinese, European, BBQ, Finger Food, Asian",2100.0,4.8,gen_28309,True,,2026-05-15T17:50:27,high
Taaza Thindi,Banashankari,South Indian,100.0,4.7,gen_633,True,,2026-05-15T17:50:27,low
Kurtoskalacs,Koramangala 5th Block,"Desserts, Fast Food",350.0,4.7,gen_28151,True,,2026-05-15T17:50:27,low
Corner House Ice Cream,Indiranagar,"Ice Cream, Desserts",400.0,4.7,gen_17673,True,,2026-05-15T17:50:27,low
Lot Like Crepes,Koramangala 7th Block,"Cafe, Desserts, Continental",550.0,4.7,gen_8342,True,,2026-05-15T17:50:27,low
ECHOES Koramangala,Koramangala 5th Block,"Chinese, American, Continental, Italian, North Indian",750.0,4.7,gen_10883,True,,2026-05-15T17:50:27,medium
Truffles,Koramangala 5th Block,"Cafe, American, Burger, Steak",900.0,4.7,gen_8331,True,,2026-05-15T17:50:27,medium
Truffles,New BEL Road,"Cafe, American, Burger, Steak",900.0,4.7,gen_43977,True,,2026-05-15T17:50:27,medium
TBC Sky Lounge,HSR,"Continental, Asian, Italian, North Indian",1000.0,4.7,gen_16968,True,,2026-05-15T17:50:27,medium
House Of Commons,HSR,"Continental, Asian, North Indian",1000.0,4.7,gen_16972,True,,2026-05-15T17:50:27,medium
Vanilla Sky,HSR,"Chinese, Continental, North Indian, Finger Food",1200.0,4.7,gen_28923,True,,2026-05-15T17:50:27,medium
Hammered,Cunningham Road,"North Indian, Thai, Japanese, Continental, Cafe",1300.0,4.7,gen_5104,True,,2026-05-15T17:50:27,medium
Brew and Barbeque - A Microbrewery Pub,Marathahalli,"Continental, North Indian, BBQ, Steak",1400.0,4.7,gen_7021,True,,2026-05-15T17:50:27,medium
The Black Pearl,Koramangala 5th Block,"North Indian, European, Mediterranean",1400.0,4.7,gen_8269,True,,2026-05-15T17:50:27,medium
AB's - Absolute Barbecues,Kalyan Nagar,"European, Mediterranean, North Indian, BBQ",1400.0,4.7,gen_26108,True,,2026-05-15T17:50:27,medium
Flechazo,Marathahalli,"Asian, Mediterranean, North Indian, BBQ",1400.0,4.7,gen_40509,True,,2026-05-15T17:50:27,medium
Opus Food Stories,Sarjapur Road,"Goan, Asian, North Indian, European, Continental",1500.0,4.7,gen_3769,True,,2026-05-15T17:50:27,medium
Communiti,Residency Road,"Continental, BBQ, Salad",1500.0,4.7,gen_6042,True,,2026-05-15T17:50:27,medium
Chianti,Koramangala 5th Block,Italian,1500.0,4.7,gen_10885,True,,2026-05-15T17:50:27,medium
The Big Barbeque,Electronic City,"BBQ, North Indian, Continental, Chinese",1500.0,4.7,gen_13368,True,,2026-05-15T17:50:27,medium
Burma Burma,Indiranagar,"Asian, Burmese",1500.0,4.7,gen_17795,True,,2026-05-15T17:50:27,medium
Toit,Indiranagar,"Italian, American, Pizza",1500.0,4.7,gen_18644,True,,2026-05-15T17:50:27,medium
Chianti,Indiranagar,Italian,1500.0,4.7,gen_18662,True,,2026-05-15T17:50:27,medium
Maziga,Whitefield,Modern Indian,1500.0,4.7,gen_50376,True,,2026-05-15T17:50:27,medium
AB's - Absolute Barbecues,Sarjapur Road,"European, Mediterranean, North Indian, BBQ",1600.0,4.7,gen_3766,True,,2026-05-15T17:50:27,high
Barbeque Nation,Koramangala 1st Block,"North Indian, European, Mediterranean, BBQ, Kebab",1600.0,4.7,gen_15795,True,,2026-05-15T17:50:27,high
Barbeque Nation,Indiranagar,"North Indian, European, Mediterranean, BBQ, Kebab",1600.0,4.7,gen_17525,True,,2026-05-15T17:50:27,high
Mainland China,Whitefield,"Chinese, Momos",1700.0,4.7,gen_6751,True,,2026-05-15T17:50:27,high
Mainland China,Whitefield,Chinese,1700.0,4.7,gen_41404,True,,2026-05-15T17:50:27,high
Big Pitcher,Old Airport Road,"American, Continental, North Indian, Mediterranean",1800.0,4.7,gen_17524,True,,2026-05-15T17:50:27,high
You Mee,Whitefield,"Sushi, Japanese, Chinese, Thai",2000.0,4.7,gen_7095,True,,2026-05-15T17:50:27,high
Biergarten,Whitefield,"Continental, European, BBQ, Chinese, Asian",2400.0,4.7,gen_7886,True,,2026-05-15T17:50:27,high
Natural Ice Cream,Indiranagar,"Ice Cream, Desserts",150.0,4.6,gen_18502,True,,2026-05-15T17:50:27,low
Apsara Ice Cream,Indiranagar,"Ice Cream, Desserts",200.0,4.6,gen_18032,True,,2026-05-15T17:50:27,low
Natural Ice Cream,Indiranagar,"Ice Cream, Beverages",200.0,4.6,gen_45550,True,,2026-05-15T17:50:27,low
The Pancake Story,Koramangala 1st Block,"Desserts, Beverages",300.0,4.6,gen_8562,True,,2026-05-15T17:50:27,low
Mugful Of Stories,Kalyan Nagar,"Desserts, Bakery",300.0,4.6,gen_24582,True,,2026-05-15T17:50:27,low
The Blue Wagon - Kitchen,Jayanagar,"Cafe, Beverages",400.0,4.6,gen_165,True,,2026-05-15T17:50:27,low
Dock Frost'd,Marathahalli,"Beverages, Desserts",400.0,4.6,gen_6900,True,,2026-05-15T17:50:27,low
Corner House Ice Cream,Koramangala 5th Block,"Ice Cream, Desserts",400.0,4.6,gen_26685,True,,2026-05-15T17:50:27,low
XO Belgian Waffle,Koramangala 5th Block,"Desserts, Beverages",400.0,4.6,gen_30878,True,,2026-05-15T17:50:27,low
BelgYum,Whitefield,Desserts,400.0,4.6,gen_50928,True,,2026-05-15T17:50:27,low
eat.fit,Koramangala 5th Block,"Healthy Food, North Indian, Biryani, Continental, Sandwich, Desserts",500.0,4.6,gen_2543,True,,2026-05-15T17:50:27,low
eat.fit,BTM,"Healthy Food, North Indian, Biryani, Continental, Sandwich, Desserts",500.0,4.6,gen_26640,True,,2026-05-15T17:50:27,low
Lot Like Crepes,Koramangala 7th Block,"Desserts, Continental",550.0,4.6,gen_10270,True,,2026-05-15T17:50:27,low
Onesta,Banashankari,"Pizza, Cafe, Italian",600.0,4.6,gen_8,True,,2026-05-15T17:50:27,medium
Onesta,Basavanagudi,"Pizza, Cafe, Italian",600.0,4.6,gen_2498,True,,2026-05-15T17:50:27,medium
Onesta,Marathahalli,"Pizza, Cafe, Italian",600.0,4.6,gen_6996,True,,2026-05-15T17:50:27,medium
The Hole in the Wall Cafe,Koramangala 4th Block,"Cafe, American, Burger",600.0,4.6,gen_26534,True,,2026-05-15T17:50:27,medium
Here & Now,HSR,"Cafe, American, Burger, Beverages",750.0,4.6,gen_15805,True,,2026-05-15T17:50:27,medium
Zamindar,Kalyan Nagar,"Biryani, Mughlai, Andhra",800.0,4.6,gen_26117,True,,2026-05-15T17:50:27,medium
Baar Union,HSR,"Continental, Finger Food, Asian, Chinese",850.0,4.6,gen_16976,True,,2026-05-15T17:50:27,medium
Truffles,Indiranagar,"Cafe, American, Burger, Steak",900.0,4.6,gen_17563,True,,2026-05-15T17:50:27,medium
Smoor,Indiranagar,"Desserts, Cafe, Beverages",900.0,4.6,gen_17567,True,,2026-05-15T17:50:27,medium
Galito's,Bannerghatta Road,"African, Burger",1000.0,4.6,gen_1036,True,,2026-05-15T17:50:27,medium
Galito's,Whitefield,"African, Burger",1000.0,4.6,gen_7042,True,,2026-05-15T17:50:27,medium
Sea Rock,Seshadripuram,"Mangalorean, Seafood, South Indian, North Indian, Chinese, Mughlai",1000.0,4.6,gen_39916,True,,2026-05-15T17:50:27,medium
Galito's,Whitefield,"African, Burger, Desserts, Beverages, Fast Food",1000.0,4.6,gen_50204,True,,2026-05-15T17:50:27,medium
Brik Oven,Church Street,"Cafe, Pizza, Beverages",1100.0,4.6,gen_5043,True,,2026-05-15T17:50:27,medium
Sea Lions BBQ & Grills,Jayanagar,"North Indian, Chinese, Mughlai, Mexican, BBQ",1100.0,4.6,gen_19382,True,,2026-05-15T17:50:27,medium
Stories,Rajajinagar,"Continental, North Indian, Chinese",1100.0,4.6,gen_39562,True,,2026-05-15T17:50:27,medium
Mahjong Room - WelcomHotel Bengaluru,Richmond Road,Chinese,1200.0,4.6,gen_6136,True,,2026-05-15T17:50:27,medium
The Fatty Bao - Asian Gastro Bar,Indiranagar,"Asian, Thai, Vietnamese, Malaysian, Beverages",1200.0,4.6,gen_17767,True,,2026-05-15T17:50:27,medium
Roots,Koramangala 1st Block,"North Indian, South Indian, Chinese, Continental, Mangalorean",1200.0,4.6,gen_33946,True,,2026-05-15T17:50:27,medium
The Fatty Bao - Asian Gastro Bar,Indiranagar,"Japanese, Sushi, Asian",1200.0,4.6,gen_44905,True,,2026-05-15T17:50:27,medium
Hunger Camp,JP Nagar,"North Indian, South Indian, Chinese, Seafood",1300.0,4.6,gen_2247,True,,2026-05-15T17:50:27,medium
The Reservoire,Koramangala 5th Block,"Continental, North Indian, Chinese, American",1300.0,4.6,gen_28393,True,,2026-05-15T17:50:27,medium
Vapour Brewpub and Diner,Sarjapur Road,"North Indian, Continental, Italian",1400.0,4.6,gen_4811,True,,2026-05-15T17:50:27,medium
The Terrace at Gilly's Redefined,Koramangala 4th Block,"Continental, Finger Food, Asian, North Indian",1400.0,4.6,gen_10891,True,,2026-05-15T17:50:27,medium
Tipsy Bull - The Bar Exchange,Indiranagar,"Chinese, Continental, North Indian, Mexican",1400.0,4.6,gen_45809,True,,2026-05-15T17:50:27,medium
Chili's American Grill & Bar,Whitefield,"American, Tex-Mex, Burger, BBQ, Mexican",1400.0,4.6,gen_50272,True,,2026-05-15T17:50:27,medium
Sarjapur Social,Sarjapur Road,"American, North Indian, Chinese, Finger Food",1500.0,4.6,gen_3907,True,,2026-05-15T17:50:27,medium
Toast & Tonic,Richmond Road,"European, Asian",1500.0,4.6,gen_6063,True,,2026-05-15T17:50:27,medium
Koramangala Social,Koramangala 7th Block,"American, North Indian, Chinese, Finger Food",1500.0,4.6,gen_8641,True,,2026-05-15T17:50:27,medium
1131 Bar + Kitchen,Indiranagar,"Continental, Asian, Italian, North Indian",1500.0,4.6,gen_18654,True,,2026-05-15T17:50:27,medium
Via Milano,Sarjapur Road,"Salad, Italian, Desserts, Pizza",1500.0,4.6,gen_49234,True,,2026-05-15T17:50:27,medium
Chianti,"ITPL Main Road, Whitefield",Italian,1500.0,4.6,gen_51607,True,,2026-05-15T17:50:27,medium
Smoke House Deli,Lavelle Road,"European, Italian, Desserts, Salad, Juices, Steak",1600.0,4.6,gen_5172,True,,2026-05-15T17:50:27,high
Smoke House Deli,Indiranagar,"European, Italian, Desserts, Salad, Juices, Steak",1600.0,4.6,gen_17752,True,,2026-05-15T17:50:27,high
Fenny's Lounge And Kitchen,Koramangala 7th Block,"Mediterranean, Pizza, Continental, Seafood, Salad",1600.0,4.6,gen_28397,True,,2026-05-15T17:50:27,high
MISU,St. Marks Road,"Asian, Japanese, Korean, Indonesian, Malaysian, Singaporean",1700.0,4.6,gen_5496,True,,2026-05-15T17:50:27,high
Oota Bangalore,Whitefield,South Indian,1700.0,4.6,gen_7890,True,,2026-05-15T17:50:27,high
The Boozy Griffin,Koramangala 5th Block,"European, Continental",1800.0,4.6,gen_10892,True,,2026-05-15T17:50:27,high
Olive Bar And Kitchen,Richmond Road,"Mediterranean, European, Salad",1800.0,4.6,gen_37671,True,,2026-05-15T17:50:27,high
Chili's American Grill & Bar,Bellandur,"American, Tex-Mex, Burger, BBQ",1800.0,4.6,gen_49172,True,,2026-05-15T17:50:27,high
Caperberry,Lavelle Road,"Spanish, Italian, Mediterranean, European, Salad",2200.0,4.6,gen_6086,True,,2026-05-15T17:50:27,high
Windmills Craftworks,Whitefield,"American, North Indian, Salad",2500.0,4.6,gen_7887,True,,2026-05-15T17:50:27,high
Yauatcha,MG Road,"Chinese, Asian, Cantonese, Tea",2800.0,4.6,gen_6049,True,,2026-05-15T17:50:27,high
Rim Naam - The Oberoi,MG Road,Thai,3000.0,4.6,gen_4984,True,,2026-05-15T17:50:27,high
Chikkanna Tiffin Room,City Market,South Indian,150.0,4.5,gen_6554,True,,2026-05-15T17:50:27,low
Bengaluru Cafe,Jayanagar,South Indian,150.0,4.5,gen_21171,True,,2026-05-15T17:50:27,low
Veena Stores,Malleshwaram,South Indian,150.0,4.5,gen_39756,True,,2026-05-15T17:50:27,low
Apsara Ice Cream,HSR,"Ice Cream, Desserts",200.0,4.5,gen_15994,True,,2026-05-15T17:50:27,low
Natural Ice Cream,Koramangala 1st Block,"Ice Cream, Beverages",200.0,4.5,gen_27847,True,,2026-05-15T17:50:27,low
Chai Days,Indiranagar,"Cafe, Tea, Beverages, Fast Food",200.0,4.5,gen_42300,True,,2026-05-15T17:50:27,low
Mavalli Tiffin Room (MTR),Basavanagudi,South Indian,250.0,4.5,gen_3337,True,,2026-05-15T17:50:27,low
Siddiqu Kabab Center,Richmond Road,"North Indian, Rolls",250.0,4.5,gen_6346,True,,2026-05-15T17:50:27,low
Karma Kaapi,Jayanagar,"Beverages, Tea",250.0,4.5,gen_21075,True,,2026-05-15T17:50:27,low
Rolls & Bowls,Brookefield,"Rolls, Chinese",250.0,4.5,gen_41396,True,,2026-05-15T17:50:27,low
Shakes Theory,Jayanagar,"Beverages, Sandwich",300.0,4.5,gen_182,True,,2026-05-15T17:50:27,low
Polar Bear,"Varthur Main Road, Whitefield","Desserts, Ice Cream",300.0,4.5,gen_6813,True,,2026-05-15T17:50:27,low
HOMMS,Marathahalli,"Chinese, Beverages, Momos, Thai",300.0,4.5,gen_6942,True,,2026-05-15T17:50:27,low
99 Pancakes,Koramangala 5th Block,"Desserts, Beverages, Cafe, Ice Cream",300.0,4.5,gen_10275,True,,2026-05-15T17:50:27,low
99 Pancakes,Koramangala 5th Block,"Desserts, Cafe",300.0,4.5,gen_19559,True,,2026-05-15T17:50:27,low
HVR Veg,Seshadripuram,South Indian,300.0,4.5,gen_40314,True,,2026-05-15T17:50:27,low
BITEBOX,Marathahalli,"North Indian, Chinese, Mughlai, Desserts",300.0,4.5,gen_40579,True,,2026-05-15T17:50:27,low
HOMMS,Marathahalli,"Momos, Chinese, Fast Food",300.0,4.5,gen_40693,True,,2026-05-15T17:50:27,low
Mooch Marod,Whitefield,North Indian,350.0,4.5,gen_51312,True,,2026-05-15T17:50:27,low
XO Belgian Waffle,BTM,"Desserts, Beverages",400.0,4.5,gen_934,True,,2026-05-15T17:50:27,low
Milano Ice Cream,Jayanagar,"Ice Cream, Desserts",400.0,4.5,gen_3224,True,,2026-05-15T17:50:27,low
XO Belgian Waffle,HSR,"Desserts, Beverages",400.0,4.5,gen_3823,True,,2026-05-15T17:50:27,low
Corner House Ice Cream,Lavelle Road,"Ice Cream, Desserts",400.0,4.5,gen_5849,True,,2026-05-15T17:50:27,low
Corner House Ice Cream,Marathahalli,"Ice Cream, Desserts",400.0,4.5,gen_6966,True,,2026-05-15T17:50:27,low
Corner House Ice Cream,HSR,"Ice Cream, Desserts",400.0,4.5,gen_8405,True,,2026-05-15T17:50:27,low
Corner House Ice Cream,Jayanagar,"Ice Cream, Desserts",400.0,4.5,gen_10271,True,,2026-05-15T17:50:27,low
Corner House Ice Cream,Koramangala 7th Block,"Ice Cream, Desserts",400.0,4.5,gen_36395,True,,2026-05-15T17:50:27,low
Corner House Ice Cream,New BEL Road,"Ice Cream, Desserts",400.0,4.5,gen_44382,True,,2026-05-15T17:50:27,low
Corner House Ice Cream,Whitefield,"Ice Cream, Desserts",400.0,4.5,gen_50166,True,,2026-05-15T17:50:27,low
XO Belgian Waffle,Brigade Road,"Desserts, Beverages",450.0,4.5,gen_37864,True,,2026-05-15T17:50:27,low
Stoner,Koramangala 5th Block,"Ice Cream, Cafe, Pizza, Burger, Desserts, Beverages",500.0,4.5,gen_8338,True,,2026-05-15T17:50:27,low
eat.fit,BTM,"Healthy Food, North Indian, Biryani, Continental, Desserts",500.0,4.5,gen_10199,True,,2026-05-15T17:50:27,low
eat.fit,Indiranagar,"Healthy Food, North Indian, Biryani, Continental, Sandwich, Desserts",500.0,4.5,gen_14656,True,,2026-05-15T17:50:27,low
eat.fit,Bellandur,"Healthy Food, North Indian, Biryani, Continental, Sandwich, Desserts",500.0,4.5,gen_16950,True,,2026-05-15T17:50:27,low
IceBreakers,Koramangala 6th Block,"Desserts, Ice Cream",500.0,4.5,gen_30933,True,,2026-05-15T17:50:27,low
eat.fit,Rajajinagar,"Healthy Food, North Indian, Biryani, Continental, Desserts",500.0,4.5,gen_39458,True,,2026-05-15T17:50:27,low
eat.fit,Indiranagar,"Healthy Food, North Indian, Biryani, Continental, Desserts",500.0,4.5,gen_42298,True,,2026-05-15T17:50:27,low
Stoner,Indiranagar,"Ice Cream, Cafe, Beverages, Burger, Desserts, Pizza",550.0,4.5,gen_17576,True,,2026-05-15T17:50:27,low
Meghana Foods,Jayanagar,"Biryani, Andhra, North Indian, Seafood",600.0,4.5,gen_3445,True,,2026-05-15T17:50:27,medium
Sixth Avenue Cafe And Patisserie,Koramangala 5th Block,"Cafe, Italian, Desserts",600.0,4.5,gen_10266,True,,2026-05-15T17:50:27,medium
Onesta,Electronic City,"Pizza, Cafe, Italian",600.0,4.5,gen_13371,True,,2026-05-15T17:50:27,medium
Monet's Bistro,Indiranagar,"Cafe, Beverages",600.0,4.5,gen_17572,True,,2026-05-15T17:50:27,medium
Meghana Foods,Jayanagar,"Biryani, North Indian, Chinese",600.0,4.5,gen_21040,True,,2026-05-15T17:50:27,medium
Avista Cafe Pizzeria,Hennur,"Cafe, Italian",650.0,4.5,gen_23900,True,,2026-05-15T17:50:27,medium
Suryawanshi,Sarjapur Road,"Maharashtrian, Seafood",700.0,4.5,gen_3925,True,,2026-05-15T17:50:27,medium
Pin Me Down,BTM,"Continental, Mexican, Chinese, North Indian",800.0,4.5,gen_2654,True,,2026-05-15T17:50:27,medium
Dyu Art Cafe,Koramangala 5th Block,"Cafe, Italian, Fast Food",800.0,4.5,gen_8332,True,,2026-05-15T17:50:27,medium
Pot-O-Noodles,Indiranagar,"Chinese, Asian, Japanese",800.0,4.5,gen_18765,True,,2026-05-15T17:50:27,medium
Imperio Restaurant,Kalyan Nagar,"North Indian, Mughlai, Biryani, South Indian, Beverages",800.0,4.5,gen_23852,True,,2026-05-15T17:50:27,medium
Wild Thyme Restaurant,Koramangala 5th Block,"Chinese, Continental, North Indian, Italian, Seafood",800.0,4.5,gen_27852,True,,2026-05-15T17:50:27,medium
Nuts Over Salads Cafe,Koramangala 5th Block,"Cafe, Salad",800.0,4.5,gen_28455,True,,2026-05-15T17:50:27,medium
Mudpipe Cafe,BTM,"Cafe, Continental, Burger",900.0,4.5,gen_2791,True,,2026-05-15T17:50:27,medium
Truffles,St. Marks Road,"Cafe, American, Burger, Steak",900.0,4.5,gen_5045,True,,2026-05-15T17:50:27,medium
Bloomsbury's Global Kitchen & Bakehouse,Whitefield,"American, Cafe, Continental, French, Burger, Mexican, Desserts, Pizza",900.0,4.5,gen_6786,True,,2026-05-15T17:50:27,medium
Market Table,Koramangala 5th Block,"Cafe, Continental, Mediterranean, Beverages",900.0,4.5,gen_8344,True,,2026-05-15T17:50:27,medium
Truffles,Kalyan Nagar,"Cafe, American, Burger, Steak",900.0,4.5,gen_23861,True,,2026-05-15T17:50:27,medium
Nakkshatra,Marathahalli,"North Indian, Chinese",900.0,4.5,gen_41546,True,,2026-05-15T17:50:27,medium
Gilly's Restobar,Koramangala 5th Block,"Finger Food, Continental, North Indian",1000.0,4.5,gen_9789,True,,2026-05-15T17:50:27,medium
Bologna,Indiranagar,Italian,1000.0,4.5,gen_18678,True,,2026-05-15T17:50:27,medium
The Old Fashioned Bar,Koramangala 6th Block,"Finger Food, North Indian, Continental",1000.0,4.5,gen_28423,True,,2026-05-15T17:50:27,medium
The Asian Curry House,Malleshwaram,"Vietnamese, Thai, Burmese, Japanese",1000.0,4.5,gen_39598,True,,2026-05-15T17:50:27,medium
Output Bengaluru,Marathahalli,"North Indian, Continental",1000.0,4.5,gen_41547,True,,2026-05-15T17:50:27,medium
Bombay Adda,Koramangala 7th Block,Modern Indian,1100.0,4.5,gen_10866,True,,2026-05-15T17:50:27,medium
Mainland China,Kalyan Nagar,"Chinese, Momos",1100.0,4.5,gen_24206,True,,2026-05-15T17:50:27,medium
Mainland China,Kalyan Nagar,Chinese,1100.0,4.5,gen_26114,True,,2026-05-15T17:50:27,medium
Hae Kum Gang,Brigade Road,"Korean, Chinese, Japanese",1100.0,4.5,gen_38650,True,,2026-05-15T17:50:27,medium
"3B's - Buddies, Bar & Barbecues",Marathahalli,"North Indian, Mediterranean, European, BBQ",1100.0,4.5,gen_40510,True,,2026-05-15T17:50:27,medium
Hakuna Matata,JP Nagar,"North Indian, Asian, Seafood, Chinese",1200.0,4.5,gen_2242,True,,2026-05-15T17:50:27,medium
Bonum cibum,HSR,"Lebanese, Turkish",1200.0,4.5,gen_8901,True,,2026-05-15T17:50:27,medium
Once Upon A Flame,HSR,"Steak, Continental, Burger, BBQ",1200.0,4.5,gen_9128,True,,2026-05-15T17:50:27,medium
Chinita Real Mexican Food,Koramangala 5th Block,Mexican,1200.0,4.5,gen_10934,True,,2026-05-15T17:50:27,medium
Delhi Highway,Indiranagar,North Indian,1200.0,4.5,gen_17717,True,,2026-05-15T17:50:27,medium
OKI,Kammanahalli,"Asian, European, Italian, Korean, Malaysian, Thai, Vietnamese, Chinese",1200.0,4.5,gen_24246,True,,2026-05-15T17:50:27,medium
The Himalayan,Koramangala 5th Block,Korean,1200.0,4.5,gen_27842,True,,2026-05-15T17:50:27,medium
Myu Bar at Gilly's Redefined,Koramangala 4th Block,"American, North Indian, Pizza, Finger Food, Continental, Italian",1200.0,4.5,gen_28314,True,,2026-05-15T17:50:27,medium
Oh! Calcutta,Church Street,"Bengali, Seafood",1200.0,4.5,gen_37676,True,,2026-05-15T17:50:27,medium
"Lush - Renaissance Hotel, Bengaluru",Race Course Road,"North Indian, Continental",1200.0,4.5,gen_39423,True,,2026-05-15T17:50:27,medium
Gilly's Restobar,New BEL Road,"Continental, Finger Food, North Indian, Chinese",1200.0,4.5,gen_40338,True,,2026-05-15T17:50:27,medium
Hammered,New BEL Road,"North Indian, Continental, Cafe",1200.0,4.5,gen_43978,True,,2026-05-15T17:50:27,medium
Haute,Indiranagar,"Continental, European, Asian, Seafood, Spanish",1200.0,4.5,gen_45843,True,,2026-05-15T17:50:27,medium
Fabelle Chocolate Boutique - ITC Gardenia,Richmond Road,"Desserts, Ice Cream, Beverages",1250.0,4.5,gen_5839,True,,2026-05-15T17:50:27,medium
Jalsa Gold,Marathahalli,"North Indian, Mughlai, Italian",1300.0,4.5,gen_3765,True,,2026-05-15T17:50:27,medium
Pasta Street,Cunningham Road,"Italian, Pizza, Salad",1300.0,4.5,gen_5206,True,,2026-05-15T17:50:27,medium
Sidewalk - The Garden Bar,Marathahalli,"North Indian, Continental, Chinese, Thai",1300.0,4.5,gen_7027,True,,2026-05-15T17:50:27,medium
Sultans of Spice,Koramangala 5th Block,"North Indian, Mughlai, Salad",1300.0,4.5,gen_8275,True,,2026-05-15T17:50:27,medium
Pasta Street,Koramangala 4th Block,"Italian, Pizza, Salad",1300.0,4.5,gen_9275,True,,2026-05-15T17:50:27,medium
The Reservoire,Koramangala 5th Block,"Continental, North Indian, Chinese, American, Pizza, Finger Food",1300.0,4.5,gen_10874,True,,2026-05-15T17:50:27,medium
Pasta Street,Indiranagar,"Italian, Pizza, Salad",1300.0,4.5,gen_17531,True,,2026-05-15T17:50:27,medium
One For The Road,Nagawara,"Continental, North Indian, Finger Food",1300.0,4.5,gen_24030,True,,2026-05-15T17:50:27,medium
The London Curry House - The Royale Senate Hotel,Race Course Road,"Pizza, North Indian, Modern Indian",1300.0,4.5,gen_40335,True,,2026-05-15T17:50:27,medium
Soda Bottle Opener Wala,Lavelle Road,"Parsi, North Indian",1300.0,4.5,gen_42383,True,,2026-05-15T17:50:27,medium
Big Wong XL,Koramangala 5th Block,"Chinese, Sushi, Asian, Thai",1400.0,4.5,gen_9831,True,,2026-05-15T17:50:27,medium
Simon Says Brew Works,Koramangala 5th Block,"Continental, American, Italian, Modern Indian, Pizza, Burger",1400.0,4.5,gen_10894,True,,2026-05-15T17:50:27,medium
The Permit Room,Brigade Road,South Indian,1500.0,4.5,gen_5947,True,,2026-05-15T17:50:27,medium
Chianti,MG Road,Italian,1500.0,4.5,gen_6104,True,,2026-05-15T17:50:27,medium
